nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,preTask,preDur
0,2,51,reproduction,1.0,0.9414091999999528,0.0,,following,1.1
0,2,52,reproduction,1.2,0.6939120000001822,0.0,,reproduction,1.0
0,2,53,following,0.9,0.0,0.8820683999999801,1.0,reproduction,1.2
0,2,54,reproduction,0.9,0.9288068999999268,0.0,,following,0.9
0,2,55,following,0.8,0.0,0.8467894000000342,1.3,reproduction,0.9
0,2,56,following,0.8,0.0,0.8468109000000368,1.4,following,0.8
0,3,1,following,1.4,0.0,1.1760547999999744,1.0,,
0,3,2,following,1.1,0.0,1.0819850000000315,1.3,following,1.4
0,3,3,reproduction,1.2,1.0820252000000892,0.0,,following,1.1
0,3,4,following,1.1,0.0,0.9761697999999795,1.3,reproduction,1.2
0,3,5,reproduction,1.2,1.023232900000039,0.0,,following,1.1
0,3,6,reproduction,1.1,1.082006099999944,0.0,,reproduction,1.2
0,3,7,following,1.3,0.0,1.352508200000102,1.0,reproduction,1.1
0,3,8,reproduction,0.9,0.8938754999999219,0.0,,following,1.3
0,3,9,following,0.8,0.0,0.8350253000000976,0.9,reproduction,0.9
0,3,10,reproduction,0.8,0.6233357000000979,0.0,,following,0.8
0,3,11,following,1.3,0.0,1.1996085000000676,1.3,reproduction,0.8
0,3,12,following,1.0,0.0,1.0232085000000095,1.0,following,1.3
0,3,13,reproduction,1.4,0.8703052999999272,0.0,,following,1.0
0,3,14,reproduction,1.0,0.8115334999999959,0.0,,reproduction,1.4
0,3,15,reproduction,0.8,0.8938700999999583,0.0,,reproduction,1.0
0,3,16,reproduction,1.0,0.7527187000000595,0.0,,reproduction,0.8
0,3,17,following,1.4,0.0,1.2466189000001575,0.9,reproduction,1.0
0,3,18,reproduction,1.3,0.9409153000001425,0.0,,following,1.4
0,3,19,reproduction,0.9,0.6233694000000014,0.0,,reproduction,1.3
0,3,20,reproduction,1.1,0.7409408999999414,0.0,,reproduction,0.9
0,3,21,following,1.3,0.0,1.3290016999999352,1.2,reproduction,1.1
0,3,22,following,1.0,0.0,1.0232065999998667,1.3,following,1.3
0,3,23,reproduction,1.3,1.046770400000014,0.0,,following,1.0
0,3,24,following,1.0,0.0,1.023222399999895,0.9,reproduction,1.3
0,3,25,following,1.3,0.0,1.2819615000000797,1.1,following,1.0
0,3,26,reproduction,1.2,1.105574899999965,0.0,,following,1.3
0,3,27,following,1.2,0.0,1.1760957999999846,1.0,reproduction,1.2
