nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
17,1,25,following,1.3,0.0,1.5641986000000545,1.0,1.5641986000000545,following,1.1,1.70535609999979,1.0,0.2471229000000221,0.5058586000000105,False,1
17,1,26,following,0.9,0.0,1.1174803000001248,1.2,1.1174803000001248,following,1.3,1.5641986000000545,1.0,0.2465779999999995,0.4589309000000412,False,1
17,1,27,following,1.3,0.0,1.5524834999998802,0.9,1.5524834999998802,following,0.9,1.1174803000001248,1.2,0.3059832000001279,0.5529313999998067,False,1
17,1,28,reproduction,1.4,0.9173917999999048,0.0,,0.9173917999999048,following,1.3,1.5524834999998802,0.9,,,False,1
17,1,29,following,0.8,0.0,0.999706500000002,1.1,0.999706500000002,reproduction,1.4,0.9173917999999048,,0.2353484999998727,0.4352884999998423,False,1
17,1,30,following,0.9,0.0,0.9996593000000756,0.8,0.9996593000000756,following,0.8,0.999706500000002,1.1,0.2588870999998107,0.3523760000000493,False,1
17,1,31,following,1.1,0.0,1.6818742000000384,1.3,1.6818742000000384,following,0.9,0.9996593000000756,0.8,-0.2122312999999849,0.3647497000001749,False,1
17,1,32,following,1.3,0.0,1.3995586000000912,1.2,1.3995586000000912,following,1.1,1.6818742000000384,1.3,0.2588903000000755,0.3523512000001574,False,1
17,1,33,reproduction,1.3,0.9175270000000636,0.0,,0.9175270000000636,following,1.3,1.3995586000000912,1.2,,,False,1
17,1,34,following,1.4,0.0,1.5289347000000362,1.4,1.5289347000000362,reproduction,1.3,0.9175270000000636,,0.2818595999999616,0.4110315000000355,False,1
17,1,35,reproduction,1.2,0.8815737999998419,0.0,,0.8815737999998419,following,1.4,1.5289347000000362,1.4,,,False,1
17,1,36,following,1.1,0.0,1.199620200000027,1.1,1.199620200000027,reproduction,1.2,0.8815737999998419,,0.4117699999999331,0.5058395999999448,False,1
17,1,37,reproduction,1.2,1.023097099999859,0.0,,1.023097099999859,following,1.1,1.199620200000027,1.1,,,False,1
17,1,38,reproduction,0.9,0.8703388000001269,0.0,,0.8703388000001269,reproduction,1.2,1.023097099999859,,,,False,1
17,1,39,following,0.9,0.0,1.210842999999841,1.4,1.210842999999841,reproduction,0.9,0.8703388000001269,,0.3059109000000717,0.6117064999998547,False,1
17,1,40,reproduction,1.1,1.5054641000001538,0.0,,1.5054641000001538,following,0.9,1.210842999999841,1.4,,,False,1
17,1,41,reproduction,0.8,1.1643719999999576,0.0,,1.1643719999999576,reproduction,1.1,1.5054641000001538,,,,False,1
17,1,42,reproduction,1.4,1.2819898000000194,0.0,,1.2819898000000194,reproduction,0.8,1.1643719999999576,,,,False,1
17,1,43,reproduction,0.9,0.952709700000014,0.0,,0.952709700000014,reproduction,1.4,1.2819898000000194,,,,False,1
