duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.2,following,0,0,0,11,12.55761110000094,,12.55761110000094,13.062122499999532,13.544355399997585,14.744007400000555,15.237947800000256,15.743671000000177,10,0,0,0,16.731639099998574,17.637248799997906,0.9,16.437745999999606,1.187792900000204,17.625686399998813,18.625283299999865,18.625293499997497,19.624976700000843,19.624986999999237,19.62504959999933,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.1,reproduction,0,1,1,17,19.636643499998172,,19.636643499998172,20.142361399997753,20.62456729999758,21.730129399998987,22.22408109999742,22.729794499999116,39,23.81195160000061,0.8468732999972417,2.0934542000031797,,,1.2,0,0,24.659192099999927,25.658455999997386,25.65846590000001,26.65814540000065,26.658155099998112,26.65821270000015,23.835369399999763,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,reproduction,0,2,2,28,26.669814099997893,,26.669814099997893,27.17553979999866,27.657749300000432,28.457499699998152,28.951474900000903,29.4572033000004,91,29.97482669999954,0.7056955000007292,1.5289578000010806,,,1.1,0,0,30.680953899998713,31.68016490000082,31.680174799999804,32.67986799999926,32.67987799999901,32.67993419999766,29.998217899999872,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.1,reproduction,0,3,3,45,32.69152469999972,,32.69152469999972,33.197234899998875,33.6794547999998,34.78499720000036,35.27897369999846,35.784692900000664,15,36.67868219999946,0.705709999998362,1.9053133000015805,,,1.1,0,0,37.38476470000023,38.38402309999947,38.3840323000004,39.383715799998754,39.38372519999757,39.38377929999842,36.70204549999835,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.2,following,0,4,4,39,39.395383799997944,,39.395383799997944,39.901231600000756,40.383314799997606,41.58296599999812,42.07691150000028,42.58265159999792,77,0,0,0,43.570586699999694,44.970170900000085,1.4,43.82948779999788,1.3642639000026975,45.194016499997815,46.19342219999817,46.19343189999927,47.193120899999485,47.19313079999847,47.19318799999746,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,following,0,5,5,54,47.204789399998845,,47.204789399998845,47.71051079999961,48.19271379999918,49.49820719999843,49.99217959999805,50.49790980000034,32,0,0,0,51.4858478999995,52.48554519999743,1.0,51.72120899999936,0.987920600000507,52.70938689999821,53.70879810000042,53.70880789999865,54.70849259999886,54.708501900000556,54.708556400000816,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.4,reproduction,0,6,6,6,54.720165099999576,,54.720165099999576,55.2258925999995,55.70809489999738,57.107680099998106,57.60164779999832,58.10737119999976,176,58.695557899998676,0.8586088000010932,1.5995175999996718,,,1.2999999999999998,0,0,59.55462709999847,60.553776099997776,60.55378589999964,61.553491299997404,61.55350139999791,61.55356209999809,58.71895360000053,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,following,0,7,7,21,61.5651575999982,,61.5651575999982,62.070852199998626,62.553055599997606,63.35285329999897,63.846824500000366,64.352547399998,67,0,0,0,65.34048629999961,66.3401821999978,1.0,65.57584679999854,0.7997524999991583,66.37586089999968,67.37526349999825,67.37527330000012,68.3749547999978,68.3749644999989,68.3750192999978,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.2,following,0,8,8,25,68.3866268999991,,68.3866268999991,68.89239579999776,69.374553499998,70.57419289999962,71.06816880000042,71.57389749999857,18,0,0,0,72.56183189999865,73.86732199999824,1.2999999999999998,72.82072119999793,1.281972600001609,74.1029497999989,75.10233599999992,75.10234610000043,76.10203619999811,76.10204639999938,76.10210109999753,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.9,reproduction,0,9,9,1,76.11370119999992,,76.11370119999992,76.61941039999874,77.10162579999815,78.00724919999993,78.50122170000031,79.00694250000015,62,79.61861510000017,0.5646019999985583,1.6230080999994243,,,0.8,0,0,80.18357760000072,81.18285489999835,81.1828643000008,82.18253990000085,82.18254969999907,82.18260440000086,79.64204640000025,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1,reproduction,0,10,10,30,82.19421940000029,,82.19421940000029,82.69994179999776,83.18215419999979,84.18185259999882,84.67582000000039,85.18154850000064,66,85.73445440000069,0.44694049999816343,1.564229300001898,,,0.8,0,0,86.1817607999983,87.18104329999915,87.18105250000008,88.1807310999975,88.18074110000089,88.18079729999954,85.75784159999967,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,following,0,11,11,12,88.19240899999932,,88.19240899999932,88.6981295000005,89.18034149999949,90.4858338999984,90.97978589999911,91.48552589999963,153,0,0,0,92.47346629999811,93.5790339999985,1.1,92.72057529999802,0.8467428000003565,93.56747429999814,94.56704629999876,94.56705800000054,95.56675320000068,95.56676389999848,95.5668216999984,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1,following,0,12,12,37,95.57841289999851,,95.57841289999851,96.08412099999987,96.56634639999902,97.56603899999755,98.06001660000038,98.56574349999937,69,0,0,0,99.55369470000005,100.75331589999769,1.2,99.54205229999934,1.1995710999981384,100.74176259999876,101.74135349999779,101.74136329999965,102.7410431999997,102.74105340000096,102.7411088000008,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.2,reproduction,0,13,13,4,102.75271140000041,,102.75271140000041,103.25843279999754,103.7406458000005,104.94028999999864,105.43425709999792,105.93998119999742,48,106.4340704999995,0.48223679999864544,1.5054144999994605,,,1.4,0,0,106.91667179999786,107.91594519999853,107.91595550000056,108.91564619999917,108.9156559999974,108.91571069999918,106.45747239999764,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.9,reproduction,0,14,14,15,108.92732129999786,,108.92732129999786,109.43304549999812,109.91528409999955,110.82086219999837,111.31483440000011,111.82055019999825,13,112.36169080000036,0.5057734999973036,1.552460599999904,,,1.1,0,0,112.86789959999805,113.86710219999804,113.8671116000005,114.8667944000008,114.86680459999843,114.86686049999844,112.38509949999934,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,reproduction,0,15,15,0,114.87847060000058,,114.87847060000058,115.38418959999763,115.86639509999804,116.66613949999737,117.16011470000012,117.66582220000055,94,118.14834609999889,0.5296720000005735,1.4938288999983342,,,1.1,0,0,118.67837099999815,119.67784589999792,119.67785559999902,120.67679259999932,120.67680259999906,120.6768579999989,118.17213730000003,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.4,reproduction,0,16,16,34,120.68903679999858,,120.68903679999858,121.1941912000002,121.67639779999809,123.07598040000084,123.56995470000038,124.07568519999768,144,124.52273530000093,0.6233782999988762,1.4583810000003723,,,1.2,0,0,125.1464610999974,126.14574499999799,126.14575440000044,127.14543050000066,127.14544009999736,127.14549629999965,124.54612980000093,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,reproduction,0,17,17,5,127.15710879999824,,127.15710879999824,127.66283449999901,128.14503680000053,129.4505265000007,129.94449819999863,130.45021629999974,22,132.179240999998,0.6233831999998074,2.7403427999997803,,,0.9,0,0,132.80299039999954,133.8022631999993,133.80227319999904,134.8019600999978,134.80197100000078,134.80202999999892,132.20264069999757,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,following,0,18,18,35,134.81363050000073,,134.81363050000073,135.31934320000073,135.8015540999986,136.60131239999828,137.095285899999,137.6010172999995,61,0,0,0,138.58893519999765,139.58862399999998,1.0,138.7537405999974,0.8467891000000236,139.60079039999982,140.60020280000026,140.60021190000043,141.5999015999987,141.5999114999977,141.59996780000074,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,following,0,19,19,26,141.61156610000035,,141.61156610000035,142.11728279999807,142.59950129999925,143.90498819999993,144.3989612999976,144.90469649999795,32,0,0,0,145.89262880000024,146.69238960000075,0.8,146.15151879999758,0.8467943000032392,146.99856159999763,147.997965999999,147.9979760999995,148.99766180000006,148.99767109999812,148.9977257999999,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,following,0,20,20,49,149.00933280000027,,149.00933280000027,149.51505410000027,149.99726369999917,150.79702309999993,151.29099169999972,151.79671439999947,148,0,0,0,152.7846600999983,154.0901550999988,1.2999999999999998,153.03179219999947,1.0466611999981978,154.0785966000003,155.07818570000018,155.078195099999,156.0778767999982,156.07788699999946,156.07794139999896,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.9,reproduction,0,21,21,29,156.08954689999882,,156.08954689999882,156.5952756000006,157.0774738,157.98309169999993,158.4770604999976,158.98278539999956,11,159.5592063999975,0.6821816000010585,1.5877451999986079,,,0.8,0,0,160.24174889999995,161.24103079999986,161.24104019999868,162.2407235999999,162.24073299999873,162.2407886000001,159.58260689999952,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1,following,0,22,22,51,162.25239320000037,,162.25239320000037,162.75812799999767,163.24032649999936,164.24001869999847,164.73399229999995,165.23972219999996,174,0,0,0,166.22765349999827,167.1332696999998,0.9,166.4865694,0.9290967999986606,167.4159245999981,168.41532619999998,168.4153359999982,169.4150243999975,169.41503340000054,169.41508759999851,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.2,reproduction,0,23,23,32,169.42669240000032,,169.42669240000032,169.9324290000004,170.4146295999999,171.6142699999982,172.10826649999944,172.61396260000038,127,172.91988180000044,0.6116169999986596,1.3172487000010733,,,1.0,0,0,173.53171369999836,174.53112490000058,174.53113409999787,175.5308359999981,175.53084549999767,175.53090059999886,172.94327599999815,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.8,reproduction,0,24,24,14,175.5424970999993,,175.5424970999993,176.04821860000084,176.53042959999948,177.33018599999923,177.82415639999817,178.3298834999987,114,178.80043749999822,0.4704803000022366,1.4818820000000414,,,1.2999999999999998,0,0,179.27130029999898,180.270579,180.2705879999994,181.27026979999937,181.27027969999835,181.27033369999845,178.8238515999983,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.9,following,0,25,25,8,181.28193829999873,,181.28193829999873,181.78765890000068,182.26987879999797,183.17548689999967,183.66945679999844,184.17517410000073,134,0,0,0,185.1631152000009,186.36275599999863,1.2,184.81041919999916,1.6112747000006493,186.4219415999978,187.42135670000062,187.4213662000002,188.4210471999977,188.42105670000092,188.42111099999966,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.2,following,0,26,26,53,188.43272349999825,,188.43272349999825,188.93845019999935,189.42065079999884,190.62029769999936,191.11426109999957,191.61998929999754,27,0,0,0,192.6079334999995,193.60762609999801,1.0,192.85505790000025,0.9761703999974998,193.8314778999993,194.8308806999994,194.83089009999821,195.83057469999767,195.83058399999936,195.83063919999768,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,reproduction,0,27,27,33,195.84224800000084,,195.84224800000084,196.3479684999984,196.83018099999754,198.135671,198.6296341999987,199.13536229999954,160,199.64124549999906,0.6351152999995975,1.517201099999511,,,0.8,0,0,200.27680229999896,201.27600119999988,201.2760113000004,202.27568690000044,202.27569669999866,202.27575219999926,199.66461770000024,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.3,reproduction,0,28,28,19,202.2873538999993,,202.2873538999993,202.7930606000009,203.27528639999946,204.5807746999999,205.0747530999979,205.5804762000007,74,206.12162439999884,0.623396999999386,1.5524747999988904,,,0.9,0,0,206.7453807999991,207.7447628000009,207.74477399999887,208.7443467999983,208.74435719999747,208.7444121999979,206.14501219999875,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
0.9,following,0,29,29,22,208.75599470000088,,208.75599470000088,209.26171389999945,209.74392950000038,210.64952619999895,211.14350170000034,211.6492240000007,114,0,0,0,212.6371782999995,213.83679570000095,1.2,212.61378319999858,1.493664000001445,214.1075724000002,215.10711119999905,215.10712090000015,216.10679999999775,216.1068097999996,216.10686639999767,,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.1,reproduction,0,30,30,3,216.11846969999897,,216.11846969999897,216.62419450000016,217.10640259999855,218.21194719999767,218.70592899999974,219.21165149999797,164,219.76455440000063,0.6939493999998376,1.564224200003082,,,1.2,0,0,220.45887070000026,221.4581479999979,221.45815799999764,222.4578306000003,222.45784029999777,222.45789610000065,219.7879529999991,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
1.4,reproduction,0,31,31,48,222.46949809999933,,222.46949809999933,222.97522939999908,223.45742379999865,224.8570037999998,225.35098189999917,225.8567053000006,102,226.25669229999767,0.5175459000020055,1.411311099996965,,,1.4,0,0,226.77468709999812,227.77387549999912,227.7738857000004,228.77356999999756,228.77357979999942,228.7736346999991,226.28010340000037,,,,,,,,s09,M,23,2024-12-03_13h19.24.418,seq_tasks_v2023,2023.2.3,85.00271583673175,2024-12-03 13h19.37.674962 +0100,
