duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,reproduced_grating.started,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,follow_grating.started,follow_grating.stopped,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.4,reproduction,0,0,0,6,18.95831160000307,,18.95831160000307,19.463209700003063,19.945431800002552,21.34501050000108,21.838962300000276,22.344678200002818,23.050364000002446,82,23.026939400002448,0.9527707999986887,1.6935886999999639,0.8,0,0,23.980142300002626,24.979266700000153,24.979276500002015,25.978971399999864,25.978981500000373,25.979042000002664,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.1,reproduction,0,1,1,45,25.990636200000154,,25.990636200000154,26.49635290000151,26.978562100001,28.08409440000105,28.578084600001603,29.0838012000022,29.789460600000893,141,29.76609559999997,0.9880054000022938,1.6936107999972592,1.4,0,0,30.754494600001635,31.753654400003143,31.75366540000323,32.75339030000032,32.7533997999999,32.7534547000032,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
0.9,following,0,2,2,50,32.76502940000137,,32.76502940000137,33.27074670000002,33.75296160000289,34.65858710000248,35.15253990000201,35.658278200000495,,24,0,0,0,1.2,36.86979500000234,0.9997022999996261,37.869836300000316,38.8691510000026,38.869161300001,39.868827400001464,39.868837600002735,39.868893599999865,36.646223499999905,37.8458541,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.4,following,0,3,3,27,39.88049420000243,,39.88049420000243,40.386230600001,40.86848390000159,42.268027600002824,42.76200059999974,43.267732200001774,,97,0,0,0,1.4,44.51455999999962,1.3878023000033863,45.9026311000016,46.902016700001695,46.90202700000009,47.901698800000304,47.901709000001574,47.901762400000734,44.255677600001945,45.65523700000267,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1,reproduction,0,4,4,16,47.91337510000085,,47.91337510000085,48.41910060000009,48.90126830000008,49.90100979999988,50.394978600001195,50.900692700000945,51.52401830000235,58,51.50064270000075,0.8703284000002895,1.6112275999985286,1.2,0,0,52.371341300000495,53.37061860000176,53.37062880000303,54.37037170000258,54.37038190000021,54.370440400001826,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.1,following,0,5,5,10,54.381999299999734,,54.381999299999734,54.887709200000245,55.3699102999999,56.475446500000544,56.969444100002875,57.47517240000161,,152,0,0,0,1.2999999999999998,58.863176900002145,1.1173061999979836,59.980800700002874,60.98007640000287,60.9800873000022,61.97975729999962,61.979767300003004,61.979823800000304,58.46312150000085,59.76859010000044,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
0.8,reproduction,0,6,6,0,61.99143449999974,,61.99143449999974,62.4971555000011,62.97937509999974,63.77912769999966,64.27309790000072,64.77882990000217,65.35512300000119,73,65.33172470000136,0.729215600000316,1.5642259000014747,1.1,0,0,66.06136940000215,67.06056979999994,67.06058000000121,68.0602684000005,68.060278500001,68.06033430000025,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.2,following,0,7,7,39,68.07195050000155,,68.07195050000155,68.5776532000018,69.05988129999969,70.25949700000274,70.75348380000287,71.25921910000034,,86,0,0,0,1.1,72.52959290000217,1.070151399999304,73.6000574000027,74.5995204000028,74.59953230000247,75.59915540000293,75.59916499999963,75.59922030000234,72.2471265000022,73.35270240000318,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1,reproduction,0,8,8,44,75.61083450000297,,75.61083450000297,76.11654249999992,76.59875939999984,77.59844670000166,78.0924150000028,78.59814650000044,79.38613530000293,160,79.36276200000066,0.8351245000012568,1.775940299998183,1.0,0,0,80.19811670000126,81.19746220000161,81.19747240000288,82.19720520000192,82.19721610000124,82.19727360000252,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.3,following,0,9,9,26,82.20882800000254,,82.20882800000254,82.71454430000085,83.19673440000042,84.5022521000028,84.99621070000285,85.50191730000006,,8,0,0,0,0.8,86.68996790000165,0.8467749999981606,87.53707770000256,88.53643010000087,88.53644090000307,89.5360806000026,89.53608970000278,89.53614440000092,86.48985470000116,87.28961850000269,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.4,reproduction,0,10,10,48,89.5477544000023,,89.5477544000023,90.05349190000197,90.53569640000205,91.93527040000117,92.4292275000007,92.93496660000164,93.52302369999961,1,93.49962770000275,1.058544699997583,1.5760098000027938,1.0,0,0,94.55852310000046,95.55779240000265,95.55780280000181,96.55746189999991,96.55747170000177,96.5575299000011,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1,reproduction,0,11,11,2,96.56914750000215,,96.56914750000215,97.07489010000063,97.55721780000022,98.55676339999991,99.05075410000063,99.55648070000098,100.13277900000321,23,100.10938440000245,0.8233168000006117,1.564238099999784,0.8,0,0,100.93306780000057,101.93234540000049,101.932355500001,102.93204080000214,102.9320516000007,102.93210960000215,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.4,following,0,12,12,41,102.94367260000217,,102.94367260000217,103.44941350000227,103.93161540000074,105.33183620000273,105.82516770000075,106.33088359999965,,158,0,0,0,1.4,107.54295220000131,1.4227017000011983,108.9657772999999,109.96516710000287,109.96517700000186,110.96485200000097,110.96486189999996,110.96491640000022,107.31937400000243,108.71838960000241,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.2,following,0,13,13,25,110.97652690000177,,110.97652690000177,111.4822451,111.96445339999991,113.1640879000006,113.65808160000233,,,4,0,0,0,1.4,115.37583890000315,1.2696730999996362,116.64578320000146,117.6451859000008,117.6451956000019,118.64487530000042,118.64488520000305,118.6449407,115.15173860000141,116.5513028000023,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.3,reproduction,0,14,14,47,118.65710630000103,,118.65710630000103,119.16226630000165,119.64447520000249,120.94996970000284,121.44392830000288,121.95011570000133,122.57298790000277,21,122.54961060000278,1.1173601999980747,1.6108404000005976,1.2,0,0,123.66733590000149,124.66657710000072,124.66658690000259,125.66628380000111,125.66629350000221,125.6663492000007,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.3,following,0,15,15,40,125.67858420000266,,125.67858420000266,126.18365740000081,126.6658752000003,127.9713711000004,128.46594240000195,128.97141310000006,,81,0,0,0,1.2,130.10026100000323,1.3760658999999578,131.47658130000127,132.47597210000094,132.4759819000028,133.47616820000258,133.47617820000232,133.47623210000165,129.95964210000238,131.17090170000301,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.1,following,0,16,16,52,133.48730700000306,,133.48730700000306,133.99358180000127,134.47572779999973,135.58080840000184,136.07478190000256,136.58103120000305,,164,0,0,0,1.2999999999999998,137.82736330000262,1.2936873999969976,139.1213794000032,140.12069630000042,140.12070640000093,141.12099060000037,141.1210002000007,141.1210542000008,137.56843880000088,138.87391630000275,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
0.9,following,0,17,17,36,141.1320545000017,,141.1320545000017,141.6377674000032,142.13175590000174,143.03765810000186,143.53133850000086,144.03705660000196,,151,0,0,0,0.9,145.26036220000242,1.0121653999995033,146.2728808000029,147.27189980000185,147.27191110000058,148.27117550000185,148.27118500000142,148.271237500001,145.02517770000122,145.93059569999969,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.2,following,0,18,18,11,148.28283700000247,,148.28283700000247,148.7885610000012,149.27130580000085,150.4704008000008,150.96436840000024,151.47007920000033,,169,0,0,0,1.4,152.75220130000162,1.2822952999995323,154.03474520000236,155.03440000000046,155.03441039999962,156.03407040000093,156.0340802999999,156.03413440000077,152.4580120999999,153.85761620000267,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1,following,0,19,19,37,156.0458647000014,,156.0458647000014,156.5509411000021,157.04486830000315,158.04456340000252,158.53852689999985,159.04424480000307,,20,0,0,0,0.9,160.07941670000218,1.1884897999989334,161.2682330000025,162.26723330000095,162.26724269999977,163.2666102000003,163.2666199000014,163.2666745000024,160.03219770000214,160.93777120000232,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
1.3,following,0,20,20,54,163.27826460000142,,163.27826460000142,163.7839829000004,164.26618400000007,165.57167350000236,166.06564190000063,166.5713852000008,,161,0,0,0,0.8,167.54769880000094,1.0232123999994656,168.5711706000002,169.5705493000023,169.57055930000206,170.57025930000236,170.57026920000135,170.57032450000042,167.55932910000047,168.35907080000106,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
0.8,following,0,21,21,7,170.58193920000122,,170.58193920000122,171.08765850000054,171.5698568000007,172.36960270000054,172.86357370000042,173.3693211000027,,95,0,0,0,1.2999999999999998,174.63967520000006,1.282013600000937,175.9219888000007,176.92128290000255,176.9212929000023,177.9209667000032,177.9209762999999,177.92103359999965,174.3572645000022,175.6627365000022,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
0.9,reproduction,0,22,22,29,177.93262470000263,,177.93262470000263,178.4383594000028,178.92056250000314,179.8261706000012,180.32012620000023,180.82586620000075,181.54329130000042,48,181.5199474000001,0.7997453000025416,1.7053804999995918,1.2,0,0,182.32009150000158,183.3193330000031,183.31934350000301,184.31901840000137,184.31902790000095,184.31908320000002,,,,,,,,,,s12,M,30,2024-12-04_14h35.52.045,seq_tasks_v2023,2023.2.3,84.88582432175978,2024-12-04 15h29.00.283925 +0100,
