duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,reproduced_grating.started,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,follow_grating.started,follow_grating.stopped,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.3,reproduction,0,0,0,47,27.475167699998565,,27.475167699998565,27.976538200000505,28.447005899997748,29.752489599999535,30.24645319999763,30.752169699997467,31.34023679999882,56,31.316845499997726,0.047062400000868365,1.5760020999987319,1.2999999999999998,0,0,31.364264899999398,32.36355899999762,32.36356979999982,33.363268099998095,33.363278199998604,33.363340799998696,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
1.2,reproduction,0,1,1,46,33.37491559999762,,33.37491559999762,33.88065629999983,34.362848400000075,35.562545099997806,36.05644829999801,36.56217839999954,36.69155449999744,73,36.66814119999981,0.7527599999993981,1.1172872999995889,0.9,0,0,37.42125699999815,38.42059589999917,38.420606799998495,39.420237800000905,39.420248399997945,39.42030320000049,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
0.8,reproduction,0,2,2,42,39.43192149999959,,39.43192149999959,39.93763150000086,40.420397899997624,41.21959689999858,41.71358920000057,42.219298799998796,42.48982350000006,46,42.46642000000065,0.8585767000004125,1.2584495000010065,1.4,0,0,43.325363600000856,44.32464210000035,44.324652200000855,45.3243384999987,45.32434809999904,45.32440339999812,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
0.9,reproduction,0,3,3,1,45.33602009999959,,45.33602009999959,45.84173689999807,46.32422980000047,47.23005419999754,47.72352089999913,48.22924910000074,58.10862149999957,3,58.08523839999907,0.18820060000143712,10.867318000000523,0.9,0,0,58.27380659999835,59.27328599999964,59.27329599999939,60.272783500000514,60.27279400000043,60.27285049999773,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
0.8,following,0,4,4,7,60.28443669999979,,60.28443669999979,60.79016109999793,61.27237179999793,62.07213480000064,62.56665299999804,,,50,0,0,0,0.9,65.10664589999942,0.09407700000156183,65.20098950000101,66.20040869999866,66.20041800000035,67.20008569999845,67.20009510000091,67.20014869999795,64.07153610000023,64.97766209999827,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
1.3,following,0,5,5,26,67.21175569999832,,67.21175569999832,67.71749379999892,68.19968460000018,69.50517749999926,69.99915110000074,70.50487539999813,,179,0,0,0,1.0,71.58704469999793,0.8937753999998677,72.48095959999773,73.4805465999998,73.48055689999819,74.4802509000001,74.48026140000002,74.48031839999749,71.49281569999948,72.49251369999911,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
0.8,following,0,6,6,49,74.49191249999785,,74.49191249999785,74.99763469999743,75.47986939999828,76.2796030999998,76.77357429999756,77.27930360000028,,125,0,0,0,1.0,77.5852320999984,1.6700151000004553,79.25538799999777,80.25498439999865,80.25499489999856,81.25467199999912,81.25468159999946,81.25473639999836,78.26724860000104,79.26696140000058,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
1.4,reproduction,0,7,7,20,81.2663384999978,,81.2663384999978,81.7720593999984,82.25428810000085,83.65385709999828,84.14781969999967,84.65354359999765,85.55915399999867,152,85.53576819999944,0.8703773000015644,1.8935491000011098,0.8,0,0,86.40652000000046,87.40576460000011,87.40577439999834,88.40545969999948,88.4054701999994,88.40552789999856,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
1.2,following,0,8,8,25,88.4171181999991,,88.4171181999991,88.92284409999775,89.40505459999986,90.60469870000088,91.09866060000058,91.60439259999839,,89,0,0,0,0.8,92.09849839999879,1.281965800000762,93.38065219999771,94.38012040000103,94.3801304999979,95.37981799999761,95.37982959999863,95.37988589999804,92.59232530000008,93.39211710000018,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
1.3,reproduction,0,9,9,5,95.39148089999799,,95.39148089999799,95.89720859999943,96.37941809999757,97.68491390000054,98.1788764999983,98.68460340000092,105.25908920000074,113,105.23569399999906,0.15290079999977024,7.562425899999653,1.0,0,0,105.3889691000004,106.38825889999862,106.38826899999913,107.3879491000007,107.38795919999757,107.3880152999991,,,,,,,,,,s04,m,32,2024-11-29_15h26.41.706,seq_tasks_v2023,2023.2.3,85.00734038484279,2024-11-29 15h27.12.231833 +0100,
