duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
0.9,following,0,0,0,50,35.820078600000045,,35.820078600000045,36.323135000000036,36.80539619999996,37.711372100000006,38.20494400000001,38.71121439999996,91,0,0,0,39.69859479999997,40.49833649999999,0.8,47.23760729999998,0.05878020000000106,47.29666260000005,48.29606110000003,48.29607219999997,49.29574299999996,49.29575289999997,49.29581550000006,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
0.9,reproduction,0,1,1,29,49.307419100000004,,49.307419100000004,49.81313730000005,50.295351400000015,51.20097060000006,51.6949434,52.200627699999984,27,52.80075700000003,0.9760631999999987,1.6114337000000205,,,1.0,0,0,53.777244499999995,54.77644249999997,54.77645269999999,55.77614520000003,55.77615529999997,55.77620900000005,52.82400690000003,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.1,reproduction,0,2,2,45,55.78779760000003,,55.78779760000003,56.29351860000003,56.775737900000024,57.88132660000002,58.37524139999999,58.88096349999995,167,59.53973309999998,0.4939768000000413,1.6700673999999935,,,0.8,0,0,60.03408500000006,61.03335139999996,61.03336159999998,62.033028,62.03303850000003,62.03309250000001,59.56310879999995,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.4,reproduction,0,3,3,6,62.04472370000002,,62.04472370000002,62.550455,63.03265749999997,64.43220079999998,64.92618759999999,65.43190529999998,69,66.27884260000002,1.1526264999999967,1.8582559000000174,,,1.2999999999999998,0,0,67.43182380000002,68.43109499999997,68.43110519999999,69.43080409999999,69.43081390000003,69.43087220000001,66.30224040000002,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1,following,0,4,4,23,69.44246649999997,,69.44246649999997,69.94817700000004,70.43039279999999,71.43008509999999,71.92403930000006,72.42977909999996,157,0,0,0,73.41771829999999,74.61735049999999,1.2,73.65308720000002,1.1643371999999772,74.81774969999998,75.81707620000003,75.81708569999995,76.81742979999996,76.81743939999996,76.81749110000004,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.2,following,0,5,5,11,76.82901840000005,,76.82901840000005,77.33468880000004,77.8281268,79.02776639999996,79.52173980000003,80.02747230000006,137,0,0,0,81.01540259999996,82.12095049999999,1.1,81.34486559999999,1.0114168000000063,82.3566156,83.35596330000004,83.35597339999998,84.35565639999999,84.35566690000002,84.35572110000004,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.1,following,0,6,6,24,84.36732379999995,,84.36732379999995,84.87377399999997,85.35524649999996,86.46079990000004,86.95477629999999,87.46106600000002,51,0,0,0,88.44843129999998,89.24824730000006,0.8,88.79023169999999,0.9050035000000207,89.69556419999998,90.69491629999999,90.69492640000004,91.69459260000002,91.69460250000003,91.69465740000004,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.3,following,0,7,7,12,91.70626469999996,,91.70626469999996,92.21202039999997,92.69418999999999,93.99967740000005,94.49365319999998,94.99940180000004,52,0,0,0,95.98772079999998,96.98699140000002,1.0,96.32904209999998,0.8586187000000791,97.18790800000005,98.1867388,98.18674900000002,99.18699720000001,99.18700659999996,99.18705800000004,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
0.9,reproduction,0,8,8,15,99.19810950000004,,99.19810950000004,99.70383339999995,100.18602800000002,101.09232409999998,101.58597960000003,,33,102.46781590000006,0.5881014999999934,1.38780220000001,,,0.8,0,0,103.05626580000006,104.05551780000002,104.05552740000002,105.05523999999997,105.05524970000005,105.05530449999998,102.49120829999998,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
1.4,following,0,9,9,27,105.06688509999998,,105.06688509999998,105.57287079999998,106.05482999999998,107.45440639999998,107.948374,108.45415220000001,149,0,0,0,109.44204380000002,110.84205500000002,1.4,109.71268460000005,1.3407558999999765,111.05369290000004,112.0534538,112.05346360000004,113.05280690000001,113.05282110000002,113.05287490000006,,,,,,,,,s20,F,21,2024-12-10_13h46.37.957,seq_tasks_v2023,2023.2.3,84.88870666113449,2024-12-10 13h47.08.137615 +0100,
