duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,reproduced_grating.started,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,follow_grating.started,follow_grating.stopped,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.1,reproduction,0,0,0,45,19.578040899999905,,19.578040899999905,20.081239600000117,20.551682400000573,21.65722679999817,22.151240499999403,22.656913399998302,23.30375550000099,2,23.28035799999998,0.9644101999983832,1.6347644000015862,1.0,0,0,24.245115999998234,25.244431999999506,25.244442499999423,26.24412310000116,26.244134399999894,26.24420149999787,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1,following,0,1,1,9,26.25578889999815,,26.25578889999815,26.76147789999959,27.243700799997896,28.243389799998113,28.737360899998748,29.243074400001206,,142,0,0,0,0.9,30.501656100001128,0.9412004999976489,31.443124699999316,32.44285110000055,32.44286029999785,33.441847699999926,33.441857900001196,33.44191359999968,30.231001899999683,31.136617500000284,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1.4,following,0,2,2,55,33.45415839999987,,33.45415839999987,33.95925609999904,34.441457299999456,35.8410272000001,36.334972699998616,36.84069349999845,,85,0,0,0,1.2,38.06397409999772,1.187854600000719,39.25205310000092,40.251495599997725,40.25150569999823,41.2511826000009,41.251192899999296,41.25124859999778,37.8286162000004,39.02823830000125,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
0.8,following,0,3,3,21,41.262836300000345,,41.262836300000345,41.768573900000774,42.250775199998316,43.05052489999798,43.544488399998954,44.05019850000099,,165,0,0,0,1.2,45.29700650000086,1.1996122999989893,46.496896699998615,47.49627169999803,47.49628110000049,48.49595770000087,48.495967899998504,48.49602419999792,45.038136200000736,46.23774559999947,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1.4,reproduction,0,4,4,20,48.50763549999829,,48.50763549999829,49.013347899999644,49.49554859999989,50.89510840000003,51.389065200000914,51.89480040000126,52.65927970000121,123,52.63586690000011,1.2467035000008764,1.7523781000018062,1.4,0,0,53.88292250000086,54.882197499999165,54.88220739999815,55.88188109999828,55.881890900000144,55.88194629999998,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1.4,reproduction,0,5,5,48,55.893540199998824,,55.893540199998824,56.399326999999175,56.88147069999832,58.281034499999805,58.77499639999951,59.280731099999684,60.139271299998654,84,60.11590660000002,1.2584253999993962,1.8465031000014278,1.2999999999999998,0,0,61.37473699999828,62.37396720000106,62.373977399998694,63.373667699997895,63.37367869999798,63.37373849999858,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1.4,reproduction,0,6,6,6,63.38536219999878,,63.38536219999878,63.891039699999965,64.37324269999954,65.7728016000001,66.26675429999887,66.77247669999997,67.61928400000033,176,67.59589950000009,1.2231370999979845,1.8347162999998545,1.2999999999999998,0,0,68.81936979999955,69.81870799999888,69.81872039999871,70.81836169999951,70.81837180000002,70.8184285999996,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1,following,0,7,7,51,70.83004090000031,,70.83004090000031,71.33576479999829,71.81795219999913,72.8176409000007,73.31161699999939,73.81736029999956,,85,0,0,0,0.9,75.08765839999978,0.9290983999999298,76.01699849999932,77.0164552999995,77.0164646000012,78.01616149999973,78.01617249999981,78.01623269999982,74.80529000000024,75.71088609999788,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
1.1,reproduction,0,8,8,31,78.02777580000111,,78.02777580000111,78.53358189999926,79.01571289999993,80.12124929999845,80.61521699999867,81.12093399999867,82.05005399999936,97,82.02666359999785,1.1996791000019584,1.9170491999975638,1.0,0,0,83.22682619999978,84.22594409999874,84.22595419999925,85.22563050000099,85.22564069999862,85.22569529999964,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
0.8,reproduction,0,9,9,42,85.23727810000128,,85.23727810000128,85.743007699999,86.22523300000103,87.02497039999798,87.51892410000073,88.02465269999811,88.81264269999883,151,88.78925320000053,0.8232704000001831,1.7758587000025727,0.8,0,0,89.61287090000042,90.61217620000025,90.6121865999994,91.61185689999911,91.61186699999962,91.61192169999777,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
0.9,reproduction,0,10,10,43,91.62353380000059,,91.62353380000059,92.12925259999975,92.61146480000025,93.51706529999865,94.01101869999911,94.51675360000081,95.21065100000123,77,95.18725059999997,0.9291266000000178,1.6818134999994072,1.4,0,0,96.11671700000079,97.11604989999978,97.1160615000008,98.1157194999978,98.11572909999813,98.1157901000006,,,,,,,,,,s00,F,36,2024-12-02_15h20.37.459,seq_tasks_v2023,2023.2.3,85.00560611803407,2024-12-02 15h20.48.043449 +0100,
