duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
0.9,following,0,0,0,8,5.613320899999962,,5.613320899999962,6.118591599999945,6.6006711,7.506292499999972,7.694444599999997,8.200168200000007,29,0,0,0,9.188109700000041,10.493556399999989,1.2999999999999998,9.752766299999848,0.9996762000000672,10.752776399999902,11.5521561999999,11.552166499999885,12.551838699999962,12.551848399999926,12.551909600000045,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
0.9,following,0,1,1,50,12.563517199999978,,12.563517199999978,13.069237199999861,13.551442100000031,14.457040600000028,14.645223199999919,15.150960299999952,62,0,0,0,16.138875899999903,17.4443303999999,1.2999999999999998,16.3860009,1.2348829000000023,17.621125500000062,18.420671599999878,18.420682299999953,19.420298699999876,19.420307899999898,19.420359899999994,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
0.9,reproduction,0,2,2,1,19.431957600000032,,19.431957600000032,19.93767539999999,20.41987549999999,21.325513699999874,21.513660099999925,22.019379800000024,148,22.607769400000052,0.858511099999987,1.2939183000000867,,,1.2,0,0,23.466516199999887,24.266007899999977,24.266019799999867,25.265719900000022,25.265732399999933,25.265802599999915,22.631088899999895,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
1.2,following,0,3,3,39,25.277217099999916,,25.277217099999916,25.782943400000022,26.265147800000022,27.464780999999903,27.65293789999987,28.158646999999974,98,0,0,0,29.14658940000004,30.146268699999837,1.0,29.523076199999878,0.6114996999999676,30.134716099999878,30.93436410000004,30.934374599999956,31.934067700000014,31.93407739999998,31.934133299999985,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
1.1,following,0,4,4,10,31.945706999999857,,31.945706999999857,32.4514216,32.933630300000004,34.03915159999997,34.227361199999905,34.73307569999997,155,0,0,0,35.720984499999986,36.720682200000056,1.0,36.17981629999986,0.529235700000072,36.70934199999988,37.5087896,37.50880029999985,38.50846260000003,38.50847299999987,38.50852729999997,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
1,reproduction,0,5,5,16,38.520119999999906,,38.520119999999906,39.02585290000002,39.50805199999991,40.50773419999996,40.695911300000034,41.201622399999906,32,42.30730319999998,0.5410335999999916,1.8111957000000984,,,1.0,0,0,42.848694699999896,43.64805579999984,43.64806659999999,44.64774609999995,44.647755999999845,44.647809999999936,42.33070789999988,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
1.1,reproduction,0,6,6,31,44.65941539999994,,44.65941539999994,45.16513269999996,45.64734090000002,46.75286949999986,46.941046199999846,47.446776,65,48.11728169999992,0.1059291999999914,1.376037100000076,,,0.9,0,0,48.22361569999998,49.02285630000006,49.022866699999895,50.022552299999916,50.02256209999996,50.02261679999992,48.140680199999906,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
0.9,reproduction,0,7,7,43,50.03421019999996,,50.03421019999996,50.53990980000003,51.02216629999998,51.92773250000005,52.11590799999999,52.62162799999987,47,53.35101409999993,0.5527145000000928,1.434909300000072,,,1.0,0,0,53.904076099999884,54.703432699999894,54.70344350000005,55.70310829999994,55.70311779999997,55.703170999999884,53.37436750000006,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
0.8,following,0,8,8,21,55.714798299999984,,55.714798299999984,56.22051929999998,56.70273529999986,57.50247029999991,57.690650300000016,58.19637910000006,134,0,0,0,59.18427470000006,60.08993009999995,0.9,59.20796659999996,0.8703098999999384,60.07844819999991,60.87800969999989,60.87802029999989,61.877679499999886,61.87768949999986,61.8777427,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
1.2,following,0,9,9,25,61.889351199999965,,61.889351199999965,62.39507709999998,62.87726240000006,64.07687620000002,64.26507179999999,64.77079609999987,179,0,0,0,65.7587246999999,66.7584030999999,1.0,66.24106340000003,0.8703371999999945,67.11165059999985,67.9111284999999,67.91113949999999,68.91077010000004,68.91077989999985,68.91083430000003,,pilot01,F,20,2024-11-21_15h49.34.898,seq_tasks_v2023,2023.2.3,85.01174862372098,2024-11-21 15h50.38.965838 +0100,
