duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.1,following,0,0,0,38,11.270622800000012,,11.270622800000012,11.772796000000028,12.290646900000013,13.395849499999997,13.889801000000034,14.395527300000026,54,0,0,0,15.383462000000009,16.18322310000002,0.8,15.430611700000043,0.7409633999999983,16.171712500000012,17.171257400000002,17.17126830000001,18.170968399999992,18.170978500000047,18.171037300000023,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.3,following,0,1,1,26,18.182613800000013,,18.182613800000013,18.688342000000034,19.170551500000045,20.476037700000006,20.970004399999993,21.47574750000001,17,0,0,0,22.46366850000004,23.569217400000014,1.1,24.1809116,0.8585565000000202,25.0397016,26.03913570000003,26.039146300000027,27.03884750000003,27.03885790000004,27.038912700000026,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.4,reproduction,0,2,2,34,27.050507400000015,,27.050507400000015,27.556236900000044,28.038597500000037,29.438024900000016,29.93198160000003,30.437734300000045,56,34.024993600000016,0.5880606000000057,4.598528900000019,,,1.2999999999999998,0,0,34.6133906,35.612715800000046,35.612725400000045,36.61240240000001,36.612412000000006,36.612467700000025,34.0483888,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
0.9,following,0,3,3,8,36.62408240000002,,36.62408240000002,37.129785200000015,37.61199190000002,38.51762610000003,39.011581000000035,39.5173302,76,0,0,0,40.50523270000002,41.90481890000001,1.4,44.06899750000002,1.0349769999999694,45.104290400000025,46.10364800000002,46.10365770000004,47.103339800000015,47.10334930000005,47.10341149999999,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
0.9,reproduction,0,4,4,43,47.114989800000046,,47.114989800000046,47.62073480000004,48.10292780000003,49.00854029999999,49.50253170000002,50.00826340000003,164,51.537340900000004,0.9644203999999945,2.540414499999997,,,1.2999999999999998,0,0,52.50210750000002,53.501388399999996,53.501398300000005,54.501124800000014,54.501135300000044,54.501192100000026,51.560730500000034,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1,reproduction,0,5,5,2,54.51277620000002,,54.51277620000002,55.018484700000045,55.50070840000001,56.50039560000005,56.99434480000002,57.50009440000002,38,61.14616640000003,0.9644124000000147,4.657393899999988,,,1.0,0,0,62.11099630000001,63.11024280000004,63.110252900000035,64.10994260000001,64.1099524,64.1100045,61.16957610000003,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
0.8,reproduction,0,6,6,0,64.12161360000005,,64.12161360000005,64.62733510000004,65.10955760000002,65.9093102,66.4032656,66.9090165,73,70.48451110000002,0.9762172000000078,4.586836199999993,,,0.9,0,0,71.46106580000003,72.4603965,72.46040620000002,73.4600317,73.4600413,73.46009560000005,70.50792130000002,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1,following,0,7,7,9,73.4716957,,73.4716957,73.97744360000002,74.45965190000004,75.45934520000003,75.9533214,76.45903730000003,71,0,0,0,77.44699180000003,78.2467337,0.8,79.92870090000002,0.47041999999999007,80.3993939,81.39881540000005,81.39882550000004,82.39853340000002,82.3985434,82.3985965,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.1,reproduction,0,8,8,3,82.41016330000002,,82.41016330000002,82.91592070000002,83.39811510000004,84.50364460000003,84.99762630000004,85.50335540000003,137,88.67905840000003,0.43514189999996233,4.187002900000039,,,1.1,0,0,89.11441010000004,90.11383280000001,90.11384300000003,91.11352600000004,91.1135357,91.11358810000002,88.70236990000001,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.4,following,0,9,9,27,91.12516370000003,,91.12516370000003,91.6309076,92.1131102,93.51270720000002,94.00667570000002,,155,0,0,0,95.51210689999999,96.8175407,1.2999999999999998,97.5351162,0.7998216000000298,98.33531450000004,99.3345918,99.33460110000004,100.3342288,100.3342384,100.33429420000004,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.1,following,0,10,10,10,100.345911,,100.345911,100.85164680000003,101.3338574,102.43937460000001,102.93337300000002,103.43908920000001,66,0,0,0,104.42703500000005,105.62665680000003,1.2,106.26191,0.505695199999991,106.76794000000001,107.76728310000004,107.7672933,108.76697469999999,108.76698400000004,108.7670382,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
0.8,reproduction,0,11,11,28,108.77864390000002,,108.77864390000002,109.28437030000003,109.76658280000004,110.56633920000002,111.06030290000001,111.56603950000004,126,113.67139740000005,0.9879420999999979,3.116704700000014,,,1.4,0,0,114.65967280000001,115.65902490000002,115.6590352,116.65871660000005,116.6587265,116.65877929999999,113.69479790000003,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.1,following,0,12,12,24,116.67037340000002,,116.67037340000002,117.17611260000001,117.658321,118.76387300000005,119.2578317,119.7635401,138,0,0,0,120.75148469999999,121.95111650000001,1.2,120.1635503,1.7758608999999979,121.93955260000001,122.93914310000002,122.93915290000001,123.93884610000003,123.93885620000003,123.93891250000001,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.4,following,0,13,13,55,123.95050430000003,,123.95050430000003,124.45623790000002,124.93845900000002,126.33801629999999,126.83200360000001,127.337716,129,0,0,0,128.32564430000002,129.43121860000002,1.1,128.0200067,1.399496699999986,129.419643,130.41921410000003,130.4192236,131.4189359,131.41894610000003,131.41900120000003,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
1.3,following,0,14,14,40,131.43059300000004,,131.43059300000004,131.93633570000003,132.41852520000003,133.7240178,134.21797750000002,134.72371400000003,114,0,0,0,135.7116492,136.91129640000003,1.2,135.11195280000004,1.7876373999999942,136.89973500000002,137.89936290000003,137.89937280000004,138.89898980000004,138.89899940000004,138.8990533,,,,,,,,,s21,F,22,2024-12-11_08h33.44.783,seq_tasks_v2023,2023.2.3,85.03206133875413,2024-12-11 08h34.19.466679 +0100,
