duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
0.9,following,0,0,0,22,7.668304800000442,,7.668304800000442,8.173297299999831,8.655536399999619,9.56115250000039,10.055107099999987,10.560828200000287,17,0,0,0,11.5487763000001,12.34851510000044,0.8,11.80766130000029,0.8115090000001146,12.619430300000204,13.61881910000011,13.618829500000174,14.618506200000411,14.618516999999883,14.618579599999975,,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,reproduction,0,1,1,32,14.630187099999603,,14.630187099999603,15.13590860000022,15.61814349999986,16.817783999999847,17.311722200000077,17.81760790000044,113,18.487971200000175,1.1055876999998873,1.681347900000219,,,1.2,0,0,19.593909000000167,20.593174999999974,20.593184299999848,21.60468949999995,21.604699399999845,21.604759400000148,18.511354899999787,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.4,reproduction,0,2,2,20,21.616872599999624,,21.616872599999624,22.122036300000218,22.604800899999645,24.015585199999805,24.509559799999806,25.01525270000002,98,25.7563854,1.0350762999996732,1.7524467000002915,,,1.4,0,0,26.791880200000378,27.79098189999968,27.790992299999743,28.790709799999604,28.790720400000282,28.790777000000162,25.780354100000295,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,following,0,3,3,25,28.80236739999964,,28.80236739999964,29.30806829999983,29.79029730000002,30.98995990000003,31.48392049999984,31.989648800000396,108,0,0,0,32.97758559999966,34.17720089999966,1.2,33.25998350000009,1.16437279999991,34.42461600000024,35.42399370000021,35.424004100000275,36.42368350000015,36.423693300000195,36.42374999999993,,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,reproduction,0,4,4,18,36.43535690000044,,36.43535690000044,36.941084000000046,37.423284700000295,38.62295499999982,39.11690009999984,39.62263239999993,172,40.12850530000014,0.7174495999997816,1.5171516000000338,,,1.1,0,0,40.846315499999946,41.845585400000346,41.84559569999965,42.845283599999675,42.845294300000205,42.84535370000049,40.15189050000026,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
0.9,reproduction,0,5,5,15,42.856947399999626,,42.856947399999626,43.36266720000003,43.84487300000001,44.750480900000184,45.2444588999997,45.75017800000023,107,46.550078600000234,0.7527676999998221,1.8112232000003132,,,1.2,0,0,47.303197700000055,48.30244909999965,48.30245990000003,49.302187700000104,49.302200600000106,49.3022619000003,46.57346359999974,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
0.9,reproduction,0,6,6,29,49.3138399999998,,49.3138399999998,49.81955459999972,50.301722100000006,51.20737240000017,51.70134119999966,52.20706900000005,158,53.253916599999684,0.7057159000005413,2.0581718999992518,,,1.0,0,0,53.95999480000046,54.9593304,54.9593418000004,55.958975499999724,55.958986200000254,55.95904189999965,53.2773358000004,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,following,0,7,7,53,55.97064580000006,,55.97064580000006,56.4763597000001,56.95857909999995,58.15821800000049,58.652184399999896,59.15791850000005,98,0,0,0,60.14586599999984,61.34547290000046,1.2,60.46354270000029,1.1290530999995099,61.5928643999996,62.59229479999976,62.59230459999981,63.59200500000043,63.592016100000365,63.592073200000414,,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,following,0,8,8,39,63.60362780000014,,63.60362780000014,64.10934189999989,64.59155439999995,65.79118149999977,66.2851668000003,66.79087460000028,34,0,0,0,67.77882250000039,69.17840739999974,1.4,68.03772519999984,1.3760411000002932,69.41411549999975,70.41342040000018,70.41343049999978,71.41311959999985,71.41313050000008,71.41318880000017,,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
1.2,reproduction,0,9,9,4,71.42478279999978,,71.42478279999978,71.93052110000008,72.41270720000011,73.6123576,74.10632160000023,74.6120590999999,161,75.16497359999994,1.023246200000358,1.5642355999998472,,,1.0,0,0,76.18858069999987,77.18785879999996,77.18786920000002,78.18756010000016,78.1875697000005,78.18762570000035,75.18835490000038,,,,,,,,s02,F,25,2024-11-27_13h24.59.669,seq_tasks_v2023,2023.2.3,84.97671213173827,2024-11-27 13h25.58.412317 +0100,
