duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,reproduced_grating.started,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,follow_grating.started,follow_grating.stopped,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1.3,reproduction,0,0,0,5,44.73828899999717,,44.73828899999717,45.24402509999709,45.726123699998425,47.03110509999897,47.52507979999791,48.03079479999724,49.14811120000013,25,49.124717700000474,1.2114497999973537,2.1052455000026384,1.1,0,0,50.33653459999914,51.33579679999821,51.33580669999719,52.33547980000003,52.33549029999995,52.33555129999877,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1,reproduction,0,1,1,16,52.34714349999922,,52.34714349999922,52.852875499997026,53.3350935999988,54.33476739999969,54.82874989999982,55.334466899999825,56.35769619999701,1,56.33431769999879,0.7880780999985291,2.011154299998452,1.2,0,0,57.122766799999226,58.12198549999812,58.121994999997696,59.121683499997744,59.12169399999766,59.12174859999868,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,following,0,2,2,38,59.13334589999795,,59.13334589999795,59.63907059999838,60.121279799997865,61.22685300000012,61.720800499999314,62.226527399998304,,68,0,0,0,1.4,63.03817479999998,1.5642915999997058,64.60265330000038,65.60216070000024,65.60217199999897,66.60177809999732,66.60178799999994,66.60184239999944,63.21445229999881,64.61403869999776,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.4,reproduction,0,3,3,48,66.61341569999786,,66.61341569999786,67.11914809999871,67.60137679999752,69.00095259999944,69.49492839999948,70.00064799999745,71.00035139999818,79,70.97695589999785,1.1408501000005344,1.9876480999992054,1.4,0,0,72.11816669999826,73.1174503000002,73.11745979999978,74.11714089999805,74.11715120000008,74.11720520000017,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.2,reproduction,0,4,4,46,74.12960409999869,,74.12960409999869,74.63453039999877,75.11672709999766,76.31639249999716,76.8108665999971,77.31609389999721,78.39811949999785,126,78.37472439999692,0.7409716000001936,2.069362700000056,0.9,0,0,79.11614310000004,80.11532589999842,80.11533669999699,81.11503909999738,81.11504909999712,81.11510350000026,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,following,0,5,5,52,81.12670629999775,,81.12670629999775,81.63287859999764,82.11462769999707,83.22018299999763,83.71415449999768,,,151,0,0,0,1.4,85.50200909999694,1.353115500001877,86.85524809999697,87.85427259999778,87.85428259999753,88.85385769999993,88.85386780000044,88.85392309999952,85.20849979999912,86.61916419999761,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,following,0,6,6,10,88.86554139999862,,88.86554139999862,89.37125949999972,89.85347379999803,90.95901569999842,91.45299689999956,91.95874220000042,,61,0,0,0,1.1,93.229061799997,1.093800900001952,94.32311949999712,95.32291219999752,95.32292229999803,96.3222074999976,96.32221869999921,96.32227249999778,92.9466474999972,94.05221979999988,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1,reproduction,0,7,7,2,96.33385959999941,,96.33385959999941,96.83960029999798,97.32181089999722,98.3215143999987,98.81546869999875,,99.90925589999824,32,99.88589370000045,0.8350584999971034,1.5759937000002537,1.0,0,0,100.72138949999862,101.7205815999987,101.72059090000039,102.72027979999984,102.720290199999,102.72034509999867,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1,following,0,8,8,37,102.73251289999826,,102.73251289999826,103.23767619999853,103.71987069999886,104.71958299999824,105.21359069999744,105.71927739999956,,171,0,0,0,1.0,106.98961979999876,0.9526359000010416,107.94237929999872,108.94195620000028,108.94196609999926,109.94162139999753,109.94163149999804,109.94168469999931,106.71896239999842,107.71868269999686,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,following,0,9,9,24,109.95330209999884,,109.95330209999884,110.45901889999732,110.94122639999841,112.0467929999977,112.54076979999809,113.04645309999978,,47,0,0,0,1.2999999999999998,114.26978789999703,1.2937115000022459,115.5637809999971,116.56370539999989,116.56371579999904,117.56286089999776,117.56287109999903,117.56292670000039,114.03441380000004,115.34047519999876,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
0.9,following,0,10,10,8,117.57452909999847,,117.57452909999847,118.08025540000017,118.56246180000016,119.46806819999983,119.96204550000039,,,127,0,0,0,0.8,121.7150944999994,0.8933551999980409,122.60870879999857,123.60808559999714,123.60809569999765,124.6078056999977,124.60781629999838,124.60787059999711,121.467504799999,122.2672367999985,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1,following,0,11,11,9,124.6194637999979,,124.6194637999979,125.12518559999808,125.60780879999948,126.60708489999888,127.10105429999749,127.60679499999969,,112,0,0,0,0.8,128.81833859999824,0.7997618000008515,129.61842999999863,130.61776159999863,130.6177721999993,131.6174465999975,131.61745689999952,131.61751229999936,128.59473470000012,129.39450039999792,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
0.8,reproduction,0,12,12,0,131.6291287999993,,131.6291287999993,132.13483219999762,132.61705989999973,133.4168095999994,133.91078019999986,134.41650649999792,135.1574467999999,60,135.13407039999947,0.6586428999980853,1.7288840000001073,1.0,0,0,135.79306509999878,136.7923668000003,136.79237680000006,137.79205619999993,137.79206619999968,137.792121399998,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1,following,0,13,13,23,137.80372689999786,,137.80372689999786,138.30944069999896,138.7916707000004,139.79137909999918,140.28532350000023,140.79106119999778,,126,0,0,0,1.1,142.00260509999862,1.0819957999992766,143.08486069999708,144.08427680000023,144.08428609999828,145.08398269999816,145.0839926999979,145.08405029999994,141.7789828999994,142.8845360999985,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.2,reproduction,0,14,14,18,145.09565219999786,,145.09565219999786,145.6013772999977,146.08357709999837,147.28320509999685,147.77719699999943,148.28290079999715,149.01212119999764,146,148.98870089999764,0.8469676000022446,1.7171119999984512,1.0,0,0,149.83606099999815,150.83518869999898,150.8351987999995,151.8348726999975,151.83488260000013,151.8349378999992,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,reproduction,0,15,15,45,151.84654429999864,,151.84654429999864,152.35227099999975,152.83448019999923,153.94002179999734,154.43400230000043,154.93972559999747,155.66891749999922,11,155.64551389999906,0.7057237999979407,1.7170986999990419,1.0,0,0,156.35167069999807,157.35087349999958,157.3508843999989,158.35059289999845,158.3506027000003,158.35065719999693,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.1,reproduction,0,16,16,17,158.3622336999979,,158.3622336999979,158.8679615000001,159.3501596999995,160.4557038999992,160.94968569999764,161.45541619999858,161.9964865999973,20,161.9730204999978,0.4939959000003,1.5289229999980307,0.9,0,0,162.46738339999865,163.4666698999972,163.46667969999908,164.46640329999718,164.46641329999693,164.4664687000004,,,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
1.4,following,0,17,17,13,164.47804189999806,,164.47804189999806,164.98375569999916,165.46596510000018,166.86556199999904,167.35951479999858,167.8652396999969,,62,0,0,0,1.4,169.07679949999874,1.3760502000004635,170.45309599999746,171.4525036999985,171.45251399999688,172.45220340000014,172.45221300000048,172.45226729999922,168.85317959999884,170.25275319999855,,,,,,,,s16,F,24,2024-12-05_15h29.13.199,seq_tasks_v2023,2023.2.3,85.01521772448518,2024-12-05 15h32.38.422278 +0100,
