duration,cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,fixation.started,fixation.stopped,stimulus_grating.started,stimulus_grating.stopped,cue_word.started,cue_word.stopped,orientation,rpr_onset,rpr_duration,cue2rep_rt,follow_grating.started,follow_grating.stopped,follow_stimuli,follow_key_onset,follow_production,feedback.started,feedback.stopped,iti.started,iti.stopped,BlockInfo.started,BlockInfo.stopped,reproduced_grating.started,Goodbye.started,goodbye_text.started,goodbye_key.started,Goodbye.stopped,goodbye_key.keys,goodbye_key.rt,goodbye_key.duration,participant,gender (M/F),age,date,expName,psychopyVersion,frameRate,expStart,
1,following,0,0,0,9,16.84939970000005,,16.84939970000005,17.34870440000003,17.820090600000015,18.830638600000043,19.324589400000036,19.83031950000003,91,0,0,0,20.81825950000001,22.12374360000001,1.2999999999999998,21.347626100000014,1.0349812000000043,22.38286450000004,23.38227840000002,23.382289000000014,24.381959100000017,24.381969700000013,24.382028500000047,,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.1,reproduction,0,1,1,45,24.39364070000005,,24.39364070000005,24.89937580000003,25.38158130000005,26.487152300000048,26.98111990000001,27.48684350000002,115,28.110322300000007,1.1644838999999934,1.6348444999999856,,,1.4,0,0,29.275288700000033,30.274329800000032,30.274341300000003,31.274027000000046,31.2740369,31.274091700000042,28.13367960000005,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1,reproduction,0,2,2,16,31.2856625,,31.2856625,31.79142330000002,32.273611500000015,33.27333110000001,33.76728310000004,34.27301190000003,133,34.684775400000035,0.7644847999999911,1.423089100000027,,,1.2,0,0,35.44959610000001,36.44890520000007,36.448915800000066,37.44861350000002,37.44862380000001,37.44867890000006,34.708190100000024,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.1,following,0,3,3,38,37.46029500000003,,37.46029500000003,37.96601620000007,38.44820490000001,39.553783099999976,40.047740499999975,40.55347330000001,172,0,0,0,41.54142489999998,42.741034400000046,1.2,40.777038000000005,1.9523314000000482,42.72951240000003,43.72909020000003,43.72910059999998,44.728769200000045,44.728779599999996,44.728833899999984,,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.1,reproduction,0,4,4,17,44.74043569999998,,44.74043569999998,45.24617319999999,45.728377100000046,46.83393689999997,47.327905900000076,47.83360540000007,133,48.5276581,1.434909300000072,1.7053734999999506,,,1.4,0,0,49.96296180000007,50.962191500000074,50.96220150000005,51.96188269999999,51.961893299999986,51.9619495,48.55106200000006,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
0.9,reproduction,0,5,5,29,51.97354630000001,,51.97354630000001,52.47928949999999,52.96149750000001,53.86709980000006,54.361046300000055,54.86678910000006,21,55.50201629999998,0.3410784000000149,1.6465594999999666,,,1.1,0,0,55.84344500000003,56.84276570000003,56.84277590000005,57.84245850000008,57.84246950000005,57.84252829999997,55.525425400000074,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.2,reproduction,0,6,6,4,57.854122700000005,,57.854122700000005,58.359857999999974,58.84205739999999,60.04169310000003,60.53565910000003,61.041391499999975,45,61.90009070000002,0.7997615000000451,1.870036300000038,,,0.8,0,0,62.700189100000046,63.69951950000001,63.69952940000002,64.69920189999999,64.69921260000007,64.69926850000007,61.92348080000005,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.2,reproduction,0,7,7,32,64.71087070000004,,64.71087070000004,65.21666020000004,65.6988101,66.89845740000004,67.3924159,67.89814210000003,9,68.3334494,0.7880062000000407,1.4466353000000254,,,1.1,0,0,69.12177730000002,70.12109079999999,70.12110130000002,71.12077749999997,71.12078750000006,71.12084220000003,68.35684180000004,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.3,following,0,8,8,40,71.13245890000002,,71.13245890000002,71.63819070000005,72.12039740000006,73.42588440000003,73.9198571,74.42556919999998,62,0,0,0,75.41352060000003,76.81309900000002,1.4,75.74295899999998,1.3290430000000697,77.07225840000007,78.07163099999997,78.07164100000006,79.07133190000008,79.07134239999999,79.07139750000005,,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
1.1,reproduction,0,9,9,31,79.08300709999997,,79.08300709999997,79.58872609999997,80.0709516,81.17649780000005,81.6704646,82.17618329999999,23,82.94079219999998,0.3175545000000284,1.7759613999999146,,,1.4,0,0,83.25871999999998,84.25802490000007,84.25803480000008,85.25769200000008,85.25770240000003,85.25775870000001,82.96417809999997,,,,,,,,s01,F,22,2024-11-27_12h06.16.559,seq_tasks_v2023,2023.2.3,85.01998819920853,2024-11-27 12h06.46.345831 +0100,
